0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0.00245833	0	0	-0.00245833	0	-0.00245833	0	0	0.00245833
0	0.00966667	0	0	-0.00966667	0	-0.00966667	0	0	0.00966667
0	0.021375	0	0	-0.021375	0	-0.021375	0	0	0.021375
0	0.0373333	0	0	-0.0373333	0	-0.0373333	0	0	0.0373333
0	0.0572917	0	0	-0.0572917	0	-0.0572917	0	0	0.0572917
0	0.081	0	0	-0.081	0	-0.081	0	0	0.081
0	0.108208	0	0	-0.108208	0	-0.108208	0	0	0.108208
0	0.138667	0	0	-0.138667	0	-0.138667	0	0	0.138667
0	0.172125	0	0	-0.172125	0	-0.172125	0	0	0.172125
0	0.208333	0	0	-0.208333	0	-0.208333	0	0	0.208333
0	0.247042	0	0	-0.247042	0	-0.247042	0	0	0.247042
0	0.288	0	0	-0.288	0	-0.288	0	0	0.288
0	0.330958	0	0	-0.330958	0	-0.330958	0	0	0.330958
0	0.375667	0	0	-0.375667	0	-0.375667	0	0	0.375667
0	0.421875	0	0	-0.421875	0	-0.421875	0	0	0.421875
0	0.469333	0	0	-0.469333	0	-0.469333	0	0	0.469333
0	0.517792	0	0	-0.517792	0	-0.517792	0	0	0.517792
0	0.567	0	0	-0.567	0	-0.567	0	0	0.567
0	0.616708	0	0	-0.616708	0	-0.616708	0	0	0.616708
0	0.666667	0	0	-0.666667	0	-0.666667	0	0	0.666667
0	0.716625	0	0	-0.716625	0	-0.716625	0	0	0.716625
0	0.766333	0	0	-0.766333	0	-0.766333	0	0	0.766333
0	0.815542	0	0	-0.815542	0	-0.815542	0	0	0.815542
0	0.864	0	0	-0.864	0	-0.864	0	0	0.864
0	0.911458	0	0	-0.911458	0	-0.911458	0	0	0.911458
0	0.957667	0	0	-0.957667	0	-0.957667	0	0	0.957667
0	1.00237	0	0	-1.00237	0	-1.00237	0	0	1.00237
0	1.04533	0	0	-1.04533	0	-1.04533	0	0	1.04533
0	1.08629	0	0	-1.08629	0	-1.08629	0	0	1.08629
0	1.125	0	0	-1.125	0	-1.125	0	0	1.125
0	1.16121	0	0	-1.16121	0	-1.16121	0	0	1.16121
0	1.19467	0	0	-1.19467	0	-1.19467	0	0	1.19467
0	1.22512	0	0	-1.22512	0	-1.22512	0	0	1.22512
0	1.25233	0	0	-1.25233	0	-1.25233	0	0	1.25233
0	1.27604	0	0	-1.27604	0	-1.27604	0	0	1.27604
0	1.296	0	0	-1.296	0	-1.296	0	0	1.296
0	1.31196	0	0	-1.31196	0	-1.31196	0	0	1.31196
0	1.32367	0	0	-1.32367	0	-1.32367	0	0	1.32367
0	1.33087	0	0	-1.33087	0	-1.33087	0	0	1.33087
0	1.33333	0	0	-1.33333	0	-1.33333	0	0	1.33333
0	1.33079	0	0	-1.33079	0	-1.33079	0	0	1.33079
0	1.323	0	0	-1.323	0	-1.323	0	0	1.323
0	1.30971	0	0	-1.30971	0	-1.30971	0	0	1.30971
0	1.29067	0	0	-1.29067	0	-1.29067	0	0	1.29067
0	1.26562	0	0	-1.26562	0	-1.26562	0	0	1.26562
0	1.23433	0	0	-1.23433	0	-1.23433	0	0	1.23433
0	1.19654	0	0	-1.19654	0	-1.19654	0	0	1.19654
0	1.152	0	0	-1.152	0	-1.152	0	0	1.152
0	1.10046	0	0	-1.10046	0	-1.10046	0	0	1.10046
0	1.04167	0	0	-1.04167	0	-1.04167	0	0	1.04167
0	0.975375	0	0	-0.975375	0	-0.975375	0	0	0.975375
0	0.901333	0	0	-0.901333	0	-0.901333	0	0	0.901333
0	0.819292	0	0	-0.819292	0	-0.819292	0	0	0.819292
0	0.729	0	0	-0.729	0	-0.729	0	0	0.729
0	0.630208	0	0	-0.630208	0	-0.630208	0	0	0.630208
0	0.522667	0	0	-0.522667	0	-0.522667	0	0	0.522667
0	0.406125	0	0	-0.406125	0	-0.406125	0	0	0.406125
0	0.280333	0	0	-0.280333	0	-0.280333	0	0	0.280333
